Dataset,Weights,Image Size,Threshold,FileName,F1_Value,Precision_Value
2,ASL_128_16_nano.pt,640,0.65,exp156,0.952852266,0.925562442
,,,,,,
1,ASL_160_16_nano.pt,640,0.65,exp157,0.984612905,0.974587174
,,,,,,
2,ASL_160_16_nano.pt,640,0.65,exp158,0.972803016,0.953071701
,,,,,,
1,ASL_320_16_nano.pt,640,0.65,exp159,0.963537657,0.94002037
,,,,,,
2,ASL_320_16_nano.pt,640,0.65,exp160,0.988060218,0.977594217
,,,,,,
1,ASL_64_16_nano.pt,64,0.7,exp161,0.965919909,0.947660038
,,,,,,
2,ASL_64_16_nano.pt,64,0.7,exp162,0.921622082,0.869274918
,,,,,,
1,ASL_128_16_nano.pt,64,0.7,exp163,0.959334142,0.930769376
,,,,,,
2,ASL_128_16_nano.pt,64,0.7,exp164,0.936276283,0.891892851
,,,,,,
1,ASL_160_16_nano.pt,64,0.7,exp165,0.913859546,0.856997137
,,,,,,
2,ASL_160_16_nano.pt,64,0.7,exp166,0.921353344,0.868259662
,,,,,,
1,ASL_320_16_nano.pt,64,0.7,exp167,0.966919526,0.949038005
,,,,,,
2,ASL_320_16_nano.pt,64,0.7,exp168,0.977866671,0.967454297
,,,,,,
1,ASL_64_16_nano.pt,128,0.7,exp169,0.92256701,0.873127723
,,,,,,
2,ASL_64_16_nano.pt,128,0.7,exp170,0.90696067,0.854523455
,,,,,,
1,ASL_128_16_nano.pt,128,0.7,exp171,0.965749364,0.942137976
,,,,,,
2,ASL_128_16_nano.pt,128,0.7,exp172,0.930618017,0.879721893
,,,,,,
1,ASL_160_16_nano.pt,128,0.7,exp173,0.959734719,0.934522026
,,,,,,
2,ASL_160_16_nano.pt,128,0.7,exp174,0.952496382,0.921209756
,,,,,,
1,ASL_320_16_nano.pt,128,0.7,exp175,0.916400603,0.861016525
,,,,,,
2,ASL_320_16_nano.pt,128,0.7,exp176,0.948886343,0.913230931
,,,,,,
1,ASL_64_16_nano.pt,160,0.7,exp177,0.942278601,0.905292785
,,,,,,
2,ASL_64_16_nano.pt,160,0.7,exp178,0.920891033,0.876638372
,,,,,,
1,ASL_128_16_nano.pt,160,0.7,exp179,0.937209512,0.894218309
,,,,,,
2,ASL_128_16_nano.pt,160,0.7,exp180,0.928655087,0.879551901
,,,,,,
1,ASL_160_16_nano.pt,160,0.7,exp181,0.974764439,0.956722094
,,,,,,
2,ASL_160_16_nano.pt,160,0.7,exp182,0.945899561,0.913137014
,,,,,,
1,ASL_320_16_nano.pt,160,0.7,exp183,0.934942431,0.891680652
,,,,,,
2,ASL_320_16_nano.pt,160,0.7,exp184,0.962795209,0.934591499
,,,,,,
1,ASL_64_16_nano.pt,320,0.7,exp185,0.952421491,0.928618819
,,,,,,
2,ASL_64_16_nano.pt,320,0.7,exp186,0.904987303,0.860707318
,,,,,,
1,ASL_128_16_nano.pt,320,0.7,exp187,0.96534129,0.941304397
,,,,,,
2,ASL_128_16_nano.pt,320,0.7,exp188,0.938871185,0.898757328
,,,,,,
1,ASL_160_16_nano.pt,320,0.7,exp189,0.983083557,0.971155042
,,,,,,
2,ASL_160_16_nano.pt,320,0.7,exp190,0.96035822,0.931516661
,,,,,,
1,ASL_320_16_nano.pt,320,0.7,exp191,0.948868528,0.916254902
,,,,,,
2,ASL_320_16_nano.pt,320,0.7,exp192,0.946015525,0.911224494
,,,,,,
1,ASL_64_16_nano.pt,640,0.7,exp193,0.874383291,0.836374032
,,,,,,
2,ASL_64_16_nano.pt,640,0.7,exp194,0.886406875,0.845115655
,,,,,,
1,ASL_128_16_nano.pt,640,0.7,exp195,0.969750209,0.951363116
,,,,,,
2,ASL_128_16_nano.pt,640,0.7,exp196,0.965678285,0.94211727
,,,,,,
1,ASL_160_16_nano.pt,640,0.7,exp197,0.987765611,0.979005488
,,,,,,
2,ASL_160_16_nano.pt,640,0.7,exp198,0.982123992,0.968001711
,,,,,,
1,ASL_320_16_nano.pt,640,0.7,exp199,0.963537657,0.94002037
,,,,,,
2,ASL_320_16_nano.pt,640,0.7,exp200,0.99139983,0.983874183
,,,,,,
1,ASL_64_16_nano.pt,64,0.75,exp201,0.970984567,0.954835009
,,,,,,
2,ASL_64_16_nano.pt,64,0.75,exp202,0.948609242,0.911221976
,,,,,,
1,ASL_128_16_nano.pt,64,0.75,exp203,0.968407974,0.946947561
,,,,,,
2,ASL_128_16_nano.pt,64,0.75,exp204,0.946022063,0.908285342
,,,,,,
1,ASL_160_16_nano.pt,64,0.75,exp205,0.933546975,0.888114552
,,,,,,
2,ASL_160_16_nano.pt,64,0.75,exp206,0.934959046,0.889073681
,,,,,,
1,ASL_320_16_nano.pt,64,0.75,exp207,0.97618906,0.96150823
,,,,,,
2,ASL_320_16_nano.pt,64,0.75,exp208,0.985685402,0.978013637
,,,,,,
1,ASL_64_16_nano.pt,128,0.75,exp209,0.955861071,0.926946034
,,,,,,
2,ASL_64_16_nano.pt,128,0.75,exp210,0.935513582,0.898477176
,,,,,,
1,ASL_128_16_nano.pt,128,0.75,exp211,0.965749364,0.942137976
,,,,,,
2,ASL_128_16_nano.pt,128,0.75,exp212,0.950732469,0.912646214
,,,,,,
1,ASL_160_16_nano.pt,128,0.75,exp213,0.959734719,0.934522026
,,,,,,
2,ASL_160_16_nano.pt,128,0.75,exp214,0.958561261,0.930311026
,,,,,,
1,ASL_320_16_nano.pt,128,0.75,exp215,0.922955658,0.870509873
,,,,,,
2,ASL_320_16_nano.pt,128,0.75,exp216,0.95732485,0.926707307
,,,,,,
1,ASL_64_16_nano.pt,160,0.75,exp217,0.949819637,0.917688788
,,,,,,
2,ASL_64_16_nano.pt,160,0.75,exp218,0.94344567,0.909723037
,,,,,,
1,ASL_128_16_nano.pt,160,0.75,exp219,0.944783311,0.906474376
,,,,,,
2,ASL_128_16_nano.pt,160,0.75,exp220,0.946047987,0.906843194
,,,,,,
1,ASL_160_16_nano.pt,160,0.75,exp221,0.974764439,0.956722094
,,,,,,
2,ASL_160_16_nano.pt,160,0.75,exp222,0.951798581,0.921711855
,,,,,,
1,ASL_320_16_nano.pt,160,0.75,exp223,0.948412444,0.914323283
,,,,,,
2,ASL_320_16_nano.pt,160,0.75,exp224,0.968943259,0.945159253
,,,,,,
1,ASL_64_16_nano.pt,320,0.75,exp225,0.977261419,0.96314631
,,,,,,
2,ASL_64_16_nano.pt,320,0.75,exp226,0.93447695,0.899333238
,,,,,,
1,ASL_128_16_nano.pt,320,0.75,exp227,0.967243995,0.943547636
,,,,,,
2,ASL_128_16_nano.pt,320,0.75,exp228,0.961977308,0.933533936
,,,,,,
1,ASL_160_16_nano.pt,320,0.75,exp229,0.986367427,0.97720141
,,,,,,
2,ASL_160_16_nano.pt,320,0.75,exp230,0.981718106,0.967291456
,,,,,,
1,ASL_320_16_nano.pt,320,0.75,exp231,0.969570582,0.950163517
,,,,,,
2,ASL_320_16_nano.pt,320,0.75,exp232,0.953850083,0.92382938
,,,,,,
1,ASL_64_16_nano.pt,640,0.75,exp233,0.897995117,0.861373546
,,,,,,
2,ASL_64_16_nano.pt,640,0.75,exp234,0.925744671,0.890726053
,,,,,,
1,ASL_128_16_nano.pt,640,0.75,exp235,0.983452467,0.973603462
,,,,,,
2,ASL_128_16_nano.pt,640,0.75,exp236,0.982122242,0.968093932
,,,,,,
1,ASL_160_16_nano.pt,640,0.75,exp237,1,1
,,,,,,
